,Price US Soybean Meal,Volume US Soybean Meal,Price Feeder Cattle,Volume Feeder Cattle,Price Live Cattle,Volume Live Cattle,Price US Corn,Volume US Corn,Price US Soybean Oil,Volume US Soybean Oil,Price US Soybeans,Volume US Soybeans,Price US Wheat,Volume US Wheat,lag1,lag2,lag3
2/01/1990,-0.905533073,-0.784149724,-0.744945261,-0.830974832,-0.66911166,-0.642276096,-0.799133655,-0.906630984,-0.965754136,-0.525610614,-0.949117449,0,-0.374309428,0,0,0,0
3/01/1990,-0.902526032,-0.784670905,-0.750384588,-0.483257708,-0.679416296,-0.30403983,-0.794222918,-0.909730642,-0.953518034,-0.519572895,-0.93112631,0,-0.367531904,0,0,0,0
4/01/1990,-0.910544809,-0.769556653,-0.748492648,-0.691887983,-0.686286053,-0.058818538,-0.79585983,-0.915789063,-0.965754136,-0.627580977,-0.943120402,0,-0.371598418,0,0,0,0
5/01/1990,-0.913551851,-0.809687597,-0.748019663,-0.813588976,-0.689033956,-0.439334336,-0.797496743,-0.926496972,-0.957836658,-0.596050667,-0.939372248,0,-0.368887409,0,0,0,0
8/01/1990,-0.909542462,-0.812293503,-0.745654738,-0.848360688,-0.695903714,-0.520722438,-0.790949093,-0.929455736,-0.91608996,-0.536344336,-0.920631478,0,-0.367531904,0,0,0,0
9/01/1990,-0.913551851,-0.767471929,-0.746127723,-0.767226693,-0.702773471,-0.591540656,-0.792586005,-0.917479786,-0.91537019,-0.46120828,-0.921381109,0,-0.385153467,0,0,0,0
10/01/1990,-0.920568281,-0.75861185,-0.755114438,-0.390533142,-0.68044676,-0.100041083,-0.797496743,-0.912266725,-0.921128355,-0.5638495,-0.93112631,0,-0.391930992,0,0,0,0
11/01/1990,-0.914554198,-0.827928936,-0.752749513,-0.755636122,-0.666707245,-0.371687083,-0.794222918,-0.925933398,-0.921848125,-0.588000375,-0.923630002,0,-0.395997507,0,0,0,0
12/01/1990,-0.936605836,-0.760696575,-0.765047123,-0.686092697,-0.677698857,-0.059875526,-0.768032318,-0.853795911,-0.934803997,-0.573912365,-0.936373725,0,-0.41361907,0,0,0,0
15/01/1990,-0.955650433,-0.811251141,-0.776871748,-0.622344558,-0.675294442,-0.566172936,-0.756573931,-0.817868061,-0.931924915,-0.636972984,-0.94087151,0,-0.424463109,0,0,0,0
16/01/1990,-0.983716155,-0.815420589,-0.777581225,-0.767226693,-0.663959342,-0.233221612,-0.764758493,-0.847878383,-0.951358722,-0.510851746,-0.958862649,0,-0.431240634,0,0,0,0
17/01/1990,-0.996746668,-0.833140747,-0.764574138,-0.691887983,-0.642663095,-0.067274445,-0.772943056,-0.892823418,-0.952078493,-0.541711198,-0.960361911,0,-0.41633008,0,0,0,0
