Date,Price,Open,High,Low,Vol.,Change %
1/02/2024,379.5,385.3,385.6,376.6,66.58K,-1.68%
12/29/2023,386,390.7,392.1,384.3,44.59K,-1.20%
12/28/2023,390.7,394,397.5,389.1,57.36K,-0.79%
12/27/2023,393.8,395.9,395.9,392.1,48.37K,-0.53%
12/26/2023,395.9,391.6,396.1,386.7,43.16K,1.23%
12/22/2023,391.1,386.4,392.4,384.9,48.94K,1.22%
12/21/2023,386.4,388.7,389,384.7,56.00K,-0.59%
12/20/2023,388.7,392.5,393.9,386.1,57.67K,-0.94%
12/19/2023,392.4,401.4,401.4,391.6,60.78K,-2.24%
12/18/2023,401.4,396.5,401.8,392.6,59.78K,1.21%
12/15/2023,396.6,396.2,398.5,393.4,44.92K,-1.76%
12/14/2023,403.7,404.2,405.9,399,52.54K,0.37%
12/13/2023,402.2,410.5,411.7,397.9,87.55K,-1.97%
12/12/2023,410.3,413.3,417.7,408.7,68.25K,-0.70%
12/11/2023,413.2,406,413.9,404.4,59.47K,2.10%
12/08/2023,404.7,407.6,414.3,403.2,58.65K,-0.52%
12/07/2023,406.8,408.8,411.8,402.4,76.22K,-0.42%
12/06/2023,408.5,418.4,421.9,406.5,73.52K,-2.23%
12/05/2023,417.8,409,418.8,406.5,66.24K,2.33%
12/04/2023,408.3,412.5,417.9,406.3,72.51K,-1.07%
12/01/2023,412.7,423.8,423.8,412.1,80.47K,-2.67%
11/30/2023,424,427.5,429,420.6,63.29K,-0.70%
11/29/2023,427,429.8,433.1,425.6,76.11K,-0.81%
11/28/2023,430.5,436.6,441.2,430.1,84.50K,-1.40%
11/27/2023,436.6,434.1,440.2,430.9,82.70K,0.58%
11/24/2023,434.1,437.6,441.4,433.4,35.56K,-5.19%
11/23/2023,457.85,457.9,457.9,457.85,,4.63%
11/22/2023,437.6,442.1,447.2,436.2,69.50K,-1.00%
11/21/2023,442,443,450.5,437.7,56.43K,-0.29%
11/20/2023,443.3,436,444.7,425.1,53.82K,1.56%
11/17/2023,436.5,447.6,449.5,435.6,51.59K,-2.83%
11/16/2023,449.2,451.9,454,438.2,52.86K,-0.62%
11/15/2023,452,455.6,460.6,448,47.94K,-4.56%
11/14/2023,473.6,469.1,475.1,455.3,60.13K,0.96%
11/13/2023,469.1,450,474.4,448.7,62.21K,4.38%
11/10/2023,449.4,450.5,451.1,445,47.55K,-0.11%
11/09/2023,449.9,450.8,453.1,443,72.30K,0.02%
11/08/2023,449.8,448.7,464.2,448,83.81K,0.54%
11/07/2023,447.4,438.5,456.3,436.5,76.65K,2.26%
11/06/2023,437.5,442.8,446,433,58.34K,-1.04%
11/03/2023,442.1,427.3,445,424.4,61.20K,3.71%
11/02/2023,426.3,430.4,434.5,422.5,58.79K,-0.95%
11/01/2023,430.4,431,432.6,424,47.20K,-0.14%
10/31/2023,431,426.6,435.3,423,57.33K,1.06%
10/30/2023,426.5,441.4,442.1,424.4,69.89K,-3.59%
10/27/2023,442.4,429.5,448.4,428.1,81.02K,3.00%
10/26/2023,429.5,427.4,433.2,422.1,88.26K,0.07%
10/25/2023,429.2,433.6,439.4,424.8,80.81K,-1.15%
10/24/2023,434.2,421,434.8,413.4,109.98K,3.26%
10/23/2023,420.5,424.6,429,417,85.09K,-0.80%
10/20/2023,423.9,423,425.7,416.9,107.18K,0.21%
10/19/2023,423,413.7,424.3,412,107.86K,2.22%
10/18/2023,413.8,399.8,415.1,398.9,107.93K,3.50%
10/17/2023,399.8,390.5,401.1,390.1,77.94K,2.46%
10/16/2023,390.2,390,392.9,386.9,58.63K,0.67%
10/13/2023,387.6,394.5,398.85,388.05,0.01K,0.00%
10/12/2023,387.6,379,394.35,379,0.03K,3.55%
10/11/2023,374.3,377.5,377.5,369,0.04K,0.62%
10/10/2023,372,372.1,377.3,370.3,0.17K,-0.69%
10/09/2023,374.6,370.9,377.1,370.6,87.86K,0.67%
10/06/2023,372.1,376.7,379.8,371.5,75.95K,-1.35%
10/05/2023,377.2,371.9,378,366.5,84.01K,1.40%
10/04/2023,372,372.1,378.2,368.7,83.34K,0.08%
10/03/2023,371.7,374.7,374.8,367.1,101.45K,-0.69%
10/02/2023,374.3,381.2,382.1,373.4,89.59K,-1.81%
09/29/2023,381.2,391.8,392,380.8,123.41K,-2.63%
09/28/2023,391.5,389.1,393.5,387.5,66.50K,0.62%
09/27/2023,389.1,393.7,396.6,388.3,84.56K,-0.92%
09/26/2023,392.7,389.8,394.2,386.6,86.80K,0.74%
09/25/2023,389.8,385.8,391.3,384.6,67.17K,1.04%
09/22/2023,385.8,388.4,391.3,385.1,60.64K,-0.59%
09/21/2023,388.1,395.2,395.6,387.9,56.19K,-1.77%
09/20/2023,395.1,389.2,397.1,389,60.22K,1.52%
09/19/2023,389.2,388,390.3,385.8,61.23K,0.34%
09/18/2023,387.9,392.1,393.2,387.7,54.65K,-1.07%
09/15/2023,392.1,399.2,401.6,391.9,59.63K,-2.07%
09/14/2023,400.4,396.2,402.9,396.2,22.58K,1.14%
09/13/2023,395.9,398.3,398.9,392.4,28.91K,-0.63%
9/12/2023,398.4,406,406.4,397,26.89K,-1.87%
9/11/2023,406,403.9,409.7,402.7,19.23K,0.82%
9/08/2023,402.7,396.5,403.3,394.4,19.83K,1.59%
9/07/2023,396.4,401.4,401.9,395.8,15.68K,-1.12%
9/06/2023,400.9,400.5,406.2,398.8,20.45K,0.40%
9/05/2023,399.3,402.8,405.3,397.4,19.03K,-0.32%
9/04/2023,400.6,400.45,401.05,400.45,,0.11%
9/03/2023,400.15,400.15,400.15,400.15,,-0.26%
9/01/2023,401.2,404.9,410.8,400.5,17.42K,-0.86%
08/31/2023,404.7,411,412.1,403.8,24.05K,-1.53%
08/30/2023,411,413.2,416.2,405.9,33.67K,-0.39%
08/29/2023,412.6,418,419.4,412.2,30.48K,-1.69%
08/28/2023,419.7,418.9,423,415.5,41.92K,0.53%
08/25/2023,417.5,415.5,419.4,413.5,30.22K,0.46%
08/24/2023,415.6,405.7,416.9,405.1,38.29K,2.74%
08/23/2023,404.5,398,405.4,395.2,30.35K,1.66%
08/22/2023,397.9,399.4,406.1,393.2,29.83K,-0.35%
08/21/2023,399.3,394,401.9,392.4,28.24K,-1.14%
08/18/2023,403.9,400.4,405,399,30.23K,1.08%
08/17/2023,399.6,406.4,406.4,397.2,32.57K,-1.21%
08/16/2023,404.5,404.1,408.7,403.8,20.99K,0.17%
08/15/2023,403.8,413.5,416.1,403.1,28.95K,-12.65%
08/14/2023,462.3,445,462.3,445,0.06K,5.81%
8/11/2023,436.9,431.1,436.9,428.7,0.08K,1.70%
8/10/2023,429.6,433.9,435.6,432.3,0.06K,0.77%
8/09/2023,426.3,436.3,443.9,429,0.15K,-1.59%
8/08/2023,433.2,448.4,451.1,434.6,0.24K,-2.91%
8/07/2023,446.2,448.1,448.1,430,0.54K,0.47%
8/04/2023,444.1,452,457,443.2,0.36K,-1.57%
8/03/2023,451.2,451.8,461.7,449,0.38K,-0.13%
8/02/2023,451.8,456.1,458.4,447.5,0.69K,-0.94%
8/01/2023,456.1,451.2,460.9,451.2,1.10K,1.09%
07/31/2023,451.2,455.2,455.4,447.6,4.04K,-0.88%
07/28/2023,455.2,463.9,463.9,451.8,13.89K,-2.00%
07/27/2023,464.5,465.4,472.5,463,33.25K,-0.04%
07/26/2023,464.7,453.8,464.8,452.6,38.25K,2.40%
07/25/2023,453.8,448.1,454.4,446.3,29.63K,10.25%
07/24/2023,411.6,412.5,415.2,407.2,,0.76%
07/21/2023,408.5,410,411.2,403,,-0.51%
07/20/2023,410.6,414.7,420.5,409.2,49.02K,-7.48%
07/19/2023,443.8,442.7,451.7,439,32.95K,0.25%
07/18/2023,442.7,433.8,446.9,431.7,30.99K,1.91%
07/17/2023,434.4,426.6,435,424.9,26.24K,1.02%
07/14/2023,430,426.8,426.8,426.8,0.00K,-0.21%
07/13/2023,430.9,428.7,432.4,428.7,0.17K,2.25%
7/12/2023,421.4,426.6,435.2,425.3,0.16K,-0.21%
7/11/2023,422.3,422.9,422.9,422,0.06K,2.43%
7/10/2023,412.3,414,415.3,411.3,0.08K,0.66%
7/07/2023,409.6,411.6,412.9,409,0.20K,-1.44%
7/06/2023,415.6,417.9,418.5,414,0.53K,-0.55%
7/05/2023,417.9,421.4,425.4,413.5,0.77K,-0.17%
7/03/2023,418.6,433.4,433.4,417.4,0.84K,-0.14%
06/30/2023,419.2,404.2,424,403.8,2.80K,4.02%
06/29/2023,403,402.2,404.6,399.3,11.14K,0.30%
06/28/2023,401.8,408.2,408.2,396,29.97K,-1.35%
06/27/2023,407.3,415.5,415.5,406,32.58K,-1.76%
06/26/2023,414.6,411,421,409,33.48K,0.95%
06/23/2023,410.7,423.6,424.4,408.5,43.14K,-3.30%
06/22/2023,424.7,438,439.4,423.8,43.25K,-3.30%
06/21/2023,439.2,418.1,441.2,417.4,65.67K,6.40%
06/20/2023,412.8,418.9,423.6,411.1,59.80K,-1.44%
06/19/2023,418.85,418.85,418.85,418.85,,1.66%
06/18/2023,412,417.55,417.55,412,,-1.06%
06/16/2023,416.4,393.7,417,392.4,80.05K,5.63%
06/15/2023,394.2,390.9,394.5,386.5,64.74K,1.15%
06/14/2023,389.7,398,398.8,388.7,68.21K,-1.96%
06/13/2023,397.5,397.4,404,396,69.07K,0.03%
6/12/2023,397.4,398.2,403.9,395.6,67.49K,0.05%
6/09/2023,397.2,403.6,407.1,396.8,73.68K,-1.68%
6/08/2023,404,404.7,408.4,401,78.54K,-0.30%
6/07/2023,405.2,396.7,405.8,396.1,87.73K,2.14%
6/06/2023,396.7,401.5,405.9,395.8,57.45K,-1.12%
6/05/2023,401.2,398.5,402.3,397.2,51.50K,0.85%
6/02/2023,397.8,401.1,404.2,396.7,58.17K,-0.90%
6/01/2023,401.4,393.3,404.4,392.8,74.50K,2.03%
05/31/2023,393.4,393.5,394.5,386.3,70.65K,0.20%
05/30/2023,392.6,402.2,402.9,391.7,63.79K,-2.39%
05/26/2023,402.2,398.4,407,397,70.21K,1.26%
05/25/2023,397.2,402.2,405.5,395.6,72.30K,-1.24%
05/24/2023,402.2,406.4,410.6,400.7,65.06K,-1.03%
05/23/2023,406.4,412.2,413.3,405.9,65.24K,-1.41%
05/22/2023,412.2,409.1,416.9,407.5,62.80K,0.76%
