,Date,Price,Open,High,Low,Vol.,Change %
0,2023-12-29,223.1,224.4,224.45,222.73,4.51K,-0.01%
1,2023-12-28,223.13,225.55,225.95,222.73,5.07K,-1.01%
2,2023-12-27,225.4,224.85,227.18,224.57,5.15K,0.37%
3,2023-12-26,224.57,222.0,225.35,221.1,4.63K,0.08%
4,2023-12-22,224.4,223.8,225.52,222.85,4.21K,0.46%
5,2023-12-21,223.38,225.77,226.85,223.25,4.79K,-1.05%
6,2023-12-20,225.75,223.23,226.0,222.6,5.18K,1.14%
7,2023-12-19,223.2,224.2,225.6,222.82,6.46K,-0.42%
8,2023-12-18,224.15,222.45,226.3,222.45,7.29K,0.89%
9,2023-12-15,222.18,220.25,222.68,218.88,5.53K,0.93%
10,2023-12-14,220.13,218.9,221.48,218.82,5.05K,1.04%
11,2023-12-13,217.85,219.2,220.38,217.3,6.16K,-0.80%
12,2023-12-12,219.6,218.02,220.75,216.27,8.63K,0.46%
13,2023-12-11,218.6,216.07,219.0,214.0,7.02K,1.17%
14,2023-12-08,216.07,211.6,217.13,211.43,8.21K,2.32%
15,2023-12-07,211.18,212.25,214.73,210.63,9.83K,-0.27%
16,2023-12-06,211.75,217.75,219.73,210.88,7.01K,-2.63%
17,2023-12-05,217.48,213.98,218.4,213.35,4.52K,1.83%
18,2023-12-04,213.57,216.9,217.73,212.0,7.15K,-1.68%
19,2023-12-01,217.23,222.6,223.88,216.5,5.09K,-1.24%
20,2023-11-30,219.95,222.63,222.65,217.07,7.97K,-1.01%
21,2023-11-29,222.2,221.55,223.57,220.1,7.57K,0.52%
22,2023-11-28,221.05,213.77,221.05,212.73,11.04K,3.88%
23,2023-11-27,212.8,220.48,220.77,212.13,13.54K,-2.98%
24,2023-11-24,219.32,227.38,227.38,219.15,7.51K,-3.43%
25,2023-11-22,227.13,228.38,229.15,226.65,4.14K,-0.53%
26,2023-11-21,228.32,229.3,230.68,227.77,4.22K,-0.66%
27,2023-11-20,229.85,230.5,232.2,227.45,6.01K,0.59%
28,2023-11-17,228.5,226.9,229.7,225.77,5.24K,-0.38%
29,2023-11-16,229.38,229.6,230.0,229.13,0.73K,-0.02%
30,2023-11-15,229.43,229.5,229.73,229.13,0.99K,-0.27%
31,2023-11-14,230.05,229.7,230.88,229.4,1.51K,-0.29%
32,2023-11-13,230.73,229.5,231.55,229.27,1.06K,0.44%
33,2023-11-10,229.73,229.3,231.25,227.77,1.55K,0.32%
34,2023-11-09,229.0,234.55,234.95,228.5,3.17K,-2.37%
