,Date,Price,Open,High,Low,Vol.,Change %
0,2023-12-29,173.68,172.0,174.0,172.0,0.15K,1.45%
1,2023-12-28,171.2,170.75,171.35,170.1,0.80K,0.28%
2,2023-12-27,170.72,170.75,170.9,170.43,0.46K,0.09%
3,2023-12-26,170.57,170.62,170.75,169.75,0.46K,0.31%
4,2023-12-22,170.05,170.5,171.28,169.75,0.78K,-0.29%
5,2023-12-21,170.55,170.03,170.68,169.68,1.77K,0.31%
6,2023-12-20,170.03,168.35,170.2,168.07,2.02K,0.94%
7,2023-12-19,168.45,169.0,169.45,168.4,1.49K,-0.22%
8,2023-12-18,168.82,169.15,169.75,168.6,1.44K,0.36%
9,2023-12-15,168.22,167.6,168.9,166.78,2.23K,0.43%
10,2023-12-14,167.5,167.78,167.97,167.15,0.92K,0.33%
11,2023-12-13,166.95,167.55,168.43,166.8,2.09K,-0.45%
12,2023-12-12,167.7,166.75,167.93,165.8,2.43K,0.44%
13,2023-12-11,166.97,165.4,167.22,164.72,1.63K,0.92%
14,2023-12-08,165.45,162.8,165.75,162.28,2.10K,1.91%
15,2023-12-07,162.35,164.0,164.78,162.2,2.33K,-0.67%
16,2023-12-06,163.45,168.3,168.85,163.03,4.43K,-3.00%
17,2023-12-05,168.5,167.15,169.0,166.93,3.17K,0.75%
18,2023-12-04,167.25,168.57,169.5,166.57,6.93K,-1.20%
19,2023-12-01,169.28,171.1,171.38,169.0,7.42K,-0.94%
20,2023-11-30,170.88,172.35,172.35,169.1,7.75K,-0.59%
21,2023-11-29,171.9,171.95,172.47,171.45,7.09K,0.15%
22,2023-11-28,171.65,169.85,172.65,169.12,12.70K,1.70%
23,2023-11-27,168.78,170.82,172.1,168.43,12.66K,-0.86%
24,2023-11-24,170.25,174.3,174.3,170.07,12.56K,-2.38%
25,2023-11-22,174.47,174.85,176.0,174.35,7.35K,-0.30%
26,2023-11-21,175.0,175.03,175.93,174.2,8.29K,-0.27%
27,2023-11-20,175.47,177.15,177.57,174.68,11.95K,-0.16%
28,2023-11-17,175.75,174.72,176.45,174.18,10.45K,0.57%
29,2023-11-16,174.75,177.53,177.62,174.38,10.98K,-1.70%
30,2023-11-15,177.78,175.62,178.1,175.45,11.43K,1.10%
31,2023-11-14,175.85,174.9,178.0,174.62,21.90K,0.53%
32,2023-11-13,174.93,174.53,176.0,173.55,26.28K,0.43%
33,2023-11-10,174.18,174.9,174.9,173.15,36.32K,-0.10%
34,2023-11-09,174.35,179.72,180.07,174.12,53.08K,-2.81%
35,2023-11-08,179.4,178.8,180.43,176.62,50.91K,0.35%
36,2023-11-07,178.78,181.4,182.22,178.6,51.64K,-1.40%
37,2023-11-06,181.32,183.18,183.28,181.22,25.07K,-1.39%
38,2023-11-03,183.88,184.82,184.97,183.53,22.27K,-0.43%
39,2023-11-02,184.68,184.0,184.85,183.93,22.04K,0.58%
40,2023-11-01,183.62,183.55,184.15,183.03,21.27K,-0.07%
41,2023-10-31,183.75,184.12,185.0,182.8,0.09K,-0.20%
42,2023-10-30,184.12,184.4,184.4,182.62,0.32K,0.07%
43,2023-10-27,184.0,182.82,184.3,182.15,0.66K,1.27%
44,2023-10-26,181.7,181.25,182.88,181.25,0.79K,0.32%
45,2023-10-25,181.12,180.95,181.47,179.75,0.53K,0.62%
46,2023-10-24,180.0,179.8,181.8,177.35,1.00K,0.98%
47,2023-10-23,178.25,183.53,183.53,177.85,1.79K,-3.27%
48,2023-10-20,184.28,185.1,185.18,184.1,1.58K,-0.07%
49,2023-10-19,184.4,185.68,185.8,184.2,3.11K,-0.71%
50,2023-10-18,185.72,185.85,186.12,185.3,1.21K,0.12%
51,2023-10-17,185.5,185.6,186.22,185.32,1.85K,0.16%
52,2023-10-16,185.2,185.75,185.82,184.7,1.92K,0.04%
53,2023-10-13,185.12,185.75,185.95,185.0,2.28K,-0.15%
54,2023-10-12,185.4,184.5,185.62,184.28,2.23K,0.49%
55,2023-10-11,184.5,182.7,184.88,182.38,4.01K,1.06%
56,2023-10-10,182.57,182.8,183.3,182.35,2.54K,0.10%
57,2023-10-09,182.38,182.9,183.78,182.32,3.70K,-0.38%
58,2023-10-06,183.07,181.78,183.45,181.4,8.55K,0.62%
59,2023-10-05,181.95,182.12,182.32,181.25,7.25K,-0.14%
60,2023-10-04,182.2,182.25,183.2,181.53,9.56K,0.04%
61,2023-10-03,182.12,184.32,184.32,182.0,14.39K,-1.25%
62,2023-10-02,184.43,184.68,186.2,184.35,11.88K,0.12%
63,2023-09-29,184.2,186.35,186.35,184.07,11.17K,-1.23%
64,2023-09-28,186.5,185.18,187.57,184.72,14.11K,0.87%
65,2023-09-27,184.9,185.25,185.8,184.45,11.13K,0.05%
66,2023-09-26,184.8,187.0,187.07,184.7,15.34K,-1.16%
67,2023-09-25,186.97,186.88,187.32,186.35,8.70K,-0.05%
68,2023-09-22,187.07,185.4,187.3,185.4,13.08K,1.14%
69,2023-09-21,184.97,186.53,186.53,184.65,12.53K,-0.97%
70,2023-09-20,186.78,185.53,186.93,185.07,10.64K,0.59%
71,2023-09-19,185.68,186.5,187.45,185.65,12.99K,-0.34%
72,2023-09-18,186.32,186.93,187.0,186.1,23.46K,-0.33%
73,2023-09-15,186.93,185.35,187.3,185.07,31.39K,0.79%
74,2023-09-14,185.47,183.12,185.78,183.07,42.87K,1.27%
75,2023-09-13,183.15,183.95,184.03,182.57,34.62K,-0.54%
76,2023-09-12,184.15,184.3,184.78,183.05,33.13K,-0.04%
77,2023-09-11,184.22,183.5,184.8,183.1,27.64K,0.55%
78,2023-09-08,183.22,183.57,183.8,182.75,27.99K,-0.23%
79,2023-09-07,183.65,182.82,184.53,182.22,30.23K,0.52%
80,2023-09-06,182.7,179.95,183.07,179.9,32.53K,1.53%
81,2023-09-05,179.95,180.3,180.95,179.5,22.17K,-0.11%
82,2023-09-01,180.15,180.8,181.03,179.82,20.38K,0.24%
83,2023-08-31,179.72,178.7,179.72,178.1,0.13K,0.51%
84,2023-08-30,178.8,180.5,180.65,178.68,1.23K,-1.22%
85,2023-08-29,181.0,181.0,181.5,180.15,1.01K,0.17%
86,2023-08-28,180.7,180.78,181.4,180.12,0.67K,0.01%
87,2023-08-25,180.68,179.85,180.78,179.0,1.77K,0.46%
88,2023-08-24,179.85,177.9,180.07,177.6,1.50K,1.01%
