,Date,Price,Open,High,Low,Vol.,Change %
0,2023-12-29,471.25,473.75,475.0,470.5,109.65K,-0.63%
1,2023-12-28,474.25,476.0,478.75,474.0,99.40K,-0.47%
2,2023-12-27,476.5,479.75,480.25,474.5,107.95K,-0.78%
3,2023-12-26,480.25,473.0,481.0,471.5,114.20K,1.53%
4,2023-12-22,473.0,472.5,474.0,471.5,80.48K,0.11%
5,2023-12-21,472.5,470.0,474.0,469.25,108.60K,0.59%
6,2023-12-20,469.75,472.75,475.5,468.25,131.03K,-0.63%
7,2023-12-19,472.75,477.25,478.25,471.5,130.03K,-0.89%
8,2023-12-18,477.0,482.5,482.75,475.5,129.45K,-1.24%
9,2023-12-15,483.0,479.25,484.0,477.75,108.55K,5.75%
10,2023-12-14,456.75,459.0,460.0,456.75,0.01K,0.00%
11,2023-12-13,456.75,462.5,462.5,455.0,0.26K,-1.24%
12,2023-12-12,462.5,459.25,467.0,459.25,0.27K,0.43%
13,2023-12-11,460.5,465.5,466.25,461.0,0.38K,-1.13%
14,2023-12-08,465.75,468.0,472.0,466.25,0.32K,-0.53%
15,2023-12-07,468.25,465.0,469.25,465.0,0.32K,0.75%
16,2023-12-06,464.75,467.75,473.0,463.75,0.35K,-0.80%
17,2023-12-05,468.5,460.25,468.5,460.25,0.64K,1.79%
18,2023-12-04,460.25,461.25,463.75,457.0,1.93K,-0.91%
19,2023-12-01,464.5,460.25,469.5,458.25,3.31K,-3.78%
20,2023-11-30,482.75,475.25,484.5,475.0,189.36K,1.47%
21,2023-11-29,475.75,473.5,477.25,470.5,257.32K,0.48%
22,2023-11-28,473.5,475.25,476.75,471.0,263.24K,-0.37%
23,2023-11-27,475.25,483.25,485.0,473.0,211.13K,-1.50%
24,2023-11-24,482.5,487.5,489.25,481.75,109.60K,-1.08%
25,2023-11-22,487.75,488.25,493.25,487.0,131.96K,-0.26%
26,2023-11-21,489.0,487.5,493.25,486.0,142.28K,0.31%
27,2023-11-20,487.5,485.5,488.25,482.5,111.05K,0.46%
28,2023-11-17,485.25,493.25,493.5,485.0,106.98K,-1.62%
29,2023-11-16,493.25,488.75,494.25,483.5,139.10K,0.97%
30,2023-11-15,488.5,493.75,496.5,485.0,188.61K,2.14%
31,2023-11-14,478.25,477.0,480.0,473.0,183.14K,0.21%
32,2023-11-13,477.25,463.25,477.75,461.0,249.73K,2.86%
33,2023-11-10,464.0,468.0,469.0,461.75,230.54K,-0.85%
34,2023-11-09,468.0,475.0,476.0,466.5,257.16K,-1.68%
35,2023-11-08,476.0,469.0,480.5,468.5,322.78K,1.60%
36,2023-11-07,468.5,477.0,477.5,468.0,215.81K,-1.83%
37,2023-11-06,477.25,477.25,480.75,476.75,131.65K,0.00%
38,2023-11-03,477.25,470.0,481.25,468.0,200.22K,1.54%
39,2023-11-02,470.0,475.0,477.0,469.5,202.19K,-1.05%
40,2023-11-01,475.0,478.75,480.0,472.5,180.12K,-0.78%
41,2023-10-31,478.75,478.25,483.0,477.5,136.05K,0.10%
42,2023-10-30,478.25,480.0,484.25,477.5,136.57K,-0.52%
43,2023-10-27,480.75,479.25,484.0,478.25,126.30K,0.31%
44,2023-10-26,479.25,480.0,484.25,477.5,190.73K,-0.16%
45,2023-10-25,480.0,483.5,486.0,476.75,177.28K,-0.83%
46,2023-10-24,484.0,490.75,491.5,482.75,161.08K,-1.27%
47,2023-10-23,490.25,494.25,497.0,490.25,126.44K,-1.06%
48,2023-10-20,495.5,504.0,509.5,495.0,264.54K,-1.88%
49,2023-10-19,505.0,492.0,505.5,490.25,279.44K,2.64%
50,2023-10-18,492.0,488.5,494.0,488.5,119.27K,0.61%
51,2023-10-17,489.0,490.0,492.75,487.75,102.03K,-0.20%
52,2023-10-16,490.0,493.5,496.75,489.5,113.49K,-0.66%
53,2023-10-13,493.25,495.0,498.75,490.5,138.23K,-0.55%
54,2023-10-12,496.0,487.75,498.75,482.25,208.37K,1.64%
55,2023-10-11,488.0,485.5,488.5,483.5,102.59K,0.51%
56,2023-10-10,485.5,488.0,488.25,484.25,110.08K,-0.56%
57,2023-10-09,488.25,492.0,497.0,487.25,115.53K,-0.76%
58,2023-10-06,492.0,496.0,499.0,491.5,125.23K,-1.11%
59,2023-10-05,497.5,486.0,498.5,482.5,186.34K,2.37%
60,2023-10-04,486.0,487.5,489.75,482.5,129.88K,-0.31%
61,2023-10-03,487.5,488.0,489.25,484.25,138.10K,-0.26%
62,2023-10-02,488.75,477.0,489.75,476.0,159.22K,2.52%
63,2023-09-29,476.75,487.5,490.0,475.5,209.42K,-2.41%
64,2023-09-28,488.5,483.75,489.25,481.0,114.32K,1.09%
65,2023-09-27,483.25,479.75,486.75,479.0,125.71K,0.73%
66,2023-09-26,479.75,481.0,483.5,476.5,117.59K,-0.31%
67,2023-09-25,481.25,475.25,482.5,473.75,101.59K,0.84%
68,2023-09-22,477.25,475.0,478.5,474.25,88.61K,0.42%
69,2023-09-21,475.25,481.0,482.5,474.0,115.20K,-1.45%
70,2023-09-20,482.25,476.0,483.0,474.5,162.30K,1.26%
71,2023-09-19,476.25,471.25,477.0,467.75,139.65K,1.01%
72,2023-09-18,471.5,475.25,478.75,469.0,143.32K,-1.00%
73,2023-09-15,476.25,480.0,483.5,475.0,110.38K,2.97%
74,2023-09-14,462.5,455.75,459.25,455.75,0.09K,-0.32%
75,2023-09-13,464.0,466.75,467.75,462.5,0.12K,0.16%
76,2023-09-12,463.25,473.5,473.5,462.75,0.17K,-1.70%
77,2023-09-11,471.25,470.25,471.5,468.0,0.43K,0.59%
78,2023-09-08,468.5,471.25,472.25,467.0,0.23K,-0.48%
79,2023-09-07,470.75,471.25,474.0,468.5,0.74K,-0.16%
80,2023-09-06,471.5,473.5,476.25,471.25,0.84K,0.11%
81,2023-09-05,471.0,466.0,473.75,462.5,1.55K,1.34%
82,2023-09-01,464.75,461.0,468.25,460.25,3.31K,0.81%
83,2023-08-31,461.0,461.75,468.0,459.0,12.07K,-0.16%
84,2023-08-30,461.75,469.0,474.75,460.25,74.61K,-1.65%
85,2023-08-29,469.5,476.5,483.0,468.5,98.80K,-1.88%
86,2023-08-28,478.5,476.25,480.0,472.25,87.58K,1.65%
87,2023-08-25,470.75,471.25,477.0,469.0,84.41K,-0.32%
88,2023-08-24,472.25,476.25,480.5,468.5,85.16K,-0.84%
89,2023-08-23,476.25,467.0,478.25,465.5,84.52K,2.09%
90,2023-08-22,466.5,469.25,472.5,461.0,72.98K,-0.59%
91,2023-08-21,469.25,486.0,493.0,468.0,74.71K,-2.14%
92,2023-08-18,479.5,473.75,482.5,472.5,66.48K,1.37%
93,2023-08-17,473.0,470.0,475.0,464.75,69.17K,0.75%
94,2023-08-16,469.5,463.0,473.0,462.0,70.84K,1.19%
95,2023-08-15,464.0,474.0,474.0,462.0,89.97K,-2.47%
96,2023-08-14,475.75,476.25,479.75,468.75,73.61K,0.26%
97,2023-08-11,474.5,483.0,494.75,470.5,174.43K,-1.81%
98,2023-08-10,483.25,481.5,485.5,480.0,93.32K,0.47%
99,2023-08-09,481.0,485.75,490.0,479.0,120.22K,-0.98%
100,2023-08-08,485.75,482.0,488.75,477.25,124.55K,0.73%
101,2023-08-07,482.25,484.75,488.5,476.0,164.88K,-0.41%
102,2023-08-04,484.25,482.5,493.5,480.25,96.91K,0.73%
103,2023-08-03,480.75,486.25,489.75,480.25,101.38K,-1.54%
