,Date,Price,Open,High,Low,Vol.,Change %
0,2023-12-29,386.0,390.7,392.1,384.3,44.59K,-1.20%
1,2023-12-28,390.7,394.0,397.5,389.1,57.36K,-0.79%
2,2023-12-27,393.8,395.9,395.9,392.1,48.37K,-0.53%
3,2023-12-26,395.9,391.6,396.1,386.7,43.16K,1.23%
4,2023-12-22,391.1,386.4,392.4,384.9,48.94K,1.22%
5,2023-12-21,386.4,388.7,389.0,384.7,56.00K,-0.59%
6,2023-12-20,388.7,392.5,393.9,386.1,57.67K,-0.94%
7,2023-12-19,392.4,401.4,401.4,391.6,60.78K,-2.24%
8,2023-12-18,401.4,396.5,401.8,392.6,59.78K,1.21%
9,2023-12-15,396.6,396.2,398.5,393.4,44.92K,-1.76%
10,2023-12-14,403.7,404.2,405.9,399.0,52.54K,0.37%
11,2023-12-13,402.2,410.5,411.7,397.9,87.55K,-1.97%
12,2023-12-12,410.3,413.3,417.7,408.7,68.25K,-0.70%
13,2023-12-11,413.2,406.0,413.9,404.4,59.47K,2.10%
14,2023-12-08,404.7,407.6,414.3,403.2,58.65K,-0.52%
15,2023-12-07,406.8,408.8,411.8,402.4,76.22K,-0.42%
16,2023-12-06,408.5,418.4,421.9,406.5,73.52K,-2.23%
17,2023-12-05,417.8,409.0,418.8,406.5,66.24K,2.33%
18,2023-12-04,408.3,412.5,417.9,406.3,72.51K,-1.07%
19,2023-12-01,412.7,423.8,423.8,412.1,80.47K,-2.67%
20,2023-11-30,424.0,427.5,429.0,420.6,63.29K,-0.70%
21,2023-11-29,427.0,429.8,433.1,425.6,76.11K,-0.81%
22,2023-11-28,430.5,436.6,441.2,430.1,84.50K,-1.40%
23,2023-11-27,436.6,434.1,440.2,430.9,82.70K,0.58%
24,2023-11-24,434.1,437.6,441.4,433.4,35.56K,-5.19%
25,2023-11-22,437.6,442.1,447.2,436.2,69.50K,-1.00%
26,2023-11-21,442.0,443.0,450.5,437.7,56.43K,-0.29%
27,2023-11-20,443.3,436.0,444.7,425.1,53.82K,1.56%
28,2023-11-17,436.5,447.6,449.5,435.6,51.59K,-2.83%
29,2023-11-16,449.2,451.9,454.0,438.2,52.86K,-0.62%
30,2023-11-15,452.0,455.6,460.6,448.0,47.94K,-4.56%
31,2023-11-14,473.6,469.1,475.1,455.3,60.13K,0.96%
32,2023-11-13,469.1,450.0,474.4,448.7,62.21K,4.38%
33,2023-11-10,449.4,450.5,451.1,445.0,47.55K,-0.11%
34,2023-11-09,449.9,450.8,453.1,443.0,72.30K,0.02%
35,2023-11-08,449.8,448.7,464.2,448.0,83.81K,0.54%
