,Date,Price,Open,High,Low,Vol.,Change %
0,2023-12-29,48.18,48.02,48.28,47.56,40.52K,0.42%
1,2023-12-28,47.98,48.68,49.22,47.92,51.77K,-1.40%
2,2023-12-27,48.66,48.51,48.99,47.57,74.26K,0.31%
3,2023-12-26,48.51,49.4,49.58,47.8,56.77K,-1.04%
4,2023-12-22,49.02,49.38,49.74,48.94,59.23K,-0.63%
5,2023-12-21,49.33,50.73,50.79,49.3,66.73K,-2.82%
6,2023-12-20,50.76,50.9,51.69,50.2,59.94K,-0.16%
7,2023-12-19,50.84,50.8,51.35,50.05,61.54K,0.20%
8,2023-12-18,50.74,50.35,51.1,49.9,64.27K,1.18%
9,2023-12-15,50.15,50.0,50.34,48.81,58.37K,1.29%
10,2023-12-14,49.51,50.06,50.83,49.21,61.40K,-0.64%
11,2023-12-13,49.83,50.42,50.72,49.71,63.01K,-1.17%
12,2023-12-12,50.42,51.25,51.75,50.05,60.04K,-1.35%
13,2023-12-11,51.11,50.1,51.24,50.07,65.11K,1.81%
14,2023-12-08,50.2,51.13,51.63,50.07,55.82K,-1.82%
15,2023-12-07,51.13,49.34,51.4,49.16,81.49K,3.63%
16,2023-12-06,49.34,50.34,50.61,49.02,62.41K,-1.83%
17,2023-12-05,50.26,51.3,51.52,49.56,67.17K,-1.91%
18,2023-12-04,51.24,51.45,52.07,51.06,50.71K,-0.41%
19,2023-12-01,51.45,52.26,52.45,51.37,62.41K,-1.55%
20,2023-11-30,52.26,52.7,53.32,52.01,63.60K,-0.72%
21,2023-11-29,52.64,53.06,53.4,51.91,74.64K,-0.57%
22,2023-11-28,52.94,51.22,53.11,51.14,77.54K,3.68%
23,2023-11-27,51.06,50.34,51.37,50.09,81.43K,1.53%
24,2023-11-24,50.29,52.6,52.6,50.15,64.54K,-4.70%
25,2023-11-22,52.71,53.65,53.7,52.43,59.23K,-1.35%
26,2023-11-21,53.43,52.29,53.5,51.79,59.42K,1.99%
27,2023-11-20,52.39,51.4,52.43,50.71,46.68K,2.30%
28,2023-11-17,51.21,51.02,51.66,50.46,44.18K,0.73%
29,2023-11-16,50.84,52.41,52.41,50.77,50.01K,-3.01%
30,2023-11-15,52.42,52.01,52.87,51.84,58.24K,0.89%
31,2023-11-14,51.96,51.03,52.57,50.8,57.47K,2.49%
32,2023-11-13,50.7,50.56,50.87,49.25,44.51K,-0.98%
33,2023-11-10,51.2,50.63,51.69,50.49,59.99K,1.49%
34,2023-11-09,50.45,49.88,50.85,49.72,58.83K,1.00%
35,2023-11-08,49.95,49.53,50.02,48.95,62.63K,0.93%
36,2023-11-07,49.49,50.88,50.88,49.25,68.01K,-2.58%
37,2023-11-06,50.8,49.36,52.03,49.26,83.51K,2.92%
38,2023-11-03,49.36,50.48,51.32,48.79,71.49K,-1.91%
39,2023-11-02,50.32,50.11,50.58,49.32,68.78K,0.84%
40,2023-11-01,49.9,51.59,51.88,49.78,66.72K,-2.96%
41,2023-10-31,51.42,52.39,52.54,51.36,56.54K,-1.85%
42,2023-10-30,52.39,52.06,52.97,52.06,55.24K,0.23%
43,2023-10-27,52.27,51.7,52.73,51.18,65.82K,1.02%
44,2023-10-26,51.74,52.69,53.49,51.56,70.50K,-1.63%
45,2023-10-25,52.6,51.33,52.65,51.15,67.92K,2.49%
46,2023-10-24,51.32,52.03,52.03,50.82,79.64K,-1.19%
47,2023-10-23,51.94,53.39,54.0,51.78,58.99K,-2.72%
48,2023-10-20,53.39,53.24,54.32,52.97,63.67K,0.53%
49,2023-10-19,53.11,54.87,55.14,52.95,72.03K,-3.19%
50,2023-10-18,54.86,55.44,55.9,54.73,62.68K,-0.89%
51,2023-10-17,55.35,55.93,56.11,55.13,50.13K,-0.98%
