,Date,Price,Open,High,Low,Vol.,Change %
0,2023-12-29,"1,293.50","1,304.75","1,311.75","1,292.25",6.68K,-0.90%
1,2023-12-28,"1,305.25","1,315.75","1,324.25","1,303.00",23.87K,-0.87%
2,2023-12-27,"1,316.75","1,310.50","1,318.75","1,303.00",37.41K,0.27%
3,2023-12-26,"1,313.25","1,299.75","1,314.50","1,296.00",34.32K,1.04%
4,2023-12-22,"1,299.75","1,296.75","1,308.00","1,294.00",52.37K,0.19%
5,2023-12-21,"1,297.25","1,309.50","1,310.00","1,295.00",71.64K,-0.84%
6,2023-12-20,"1,308.25","1,312.50","1,321.75","1,305.50",101.20K,-0.32%
7,2023-12-19,"1,312.50","1,326.50","1,328.75","1,309.50",136.92K,-1.09%
8,2023-12-18,"1,327.00","1,318.00","1,328.00","1,307.00",105.95K,0.86%
9,2023-12-15,"1,315.75","1,317.00","1,320.50","1,304.00",104.87K,0.13%
10,2023-12-14,"1,314.00","1,311.00","1,319.25","1,304.00",92.84K,0.50%
11,2023-12-13,"1,307.50","1,323.00","1,323.50","1,302.50",134.42K,-1.23%
12,2023-12-12,"1,323.75","1,337.25","1,344.00","1,320.50",151.13K,-0.92%
13,2023-12-11,"1,336.00","1,309.50","1,338.50","1,307.00",156.81K,2.45%
14,2023-12-08,"1,304.00","1,312.50","1,330.75","1,299.00",143.89K,-0.59%
15,2023-12-07,"1,311.75","1,296.00","1,318.25","1,292.00",142.34K,1.25%
16,2023-12-06,"1,295.50","1,309.25","1,313.50","1,293.75",114.90K,-0.77%
17,2023-12-05,"1,305.50","1,307.25","1,315.25","1,294.00",127.53K,-0.06%
18,2023-12-04,"1,306.25","1,322.50","1,329.25","1,303.50",145.54K,-1.42%
19,2023-12-01,"1,325.00","1,342.00","1,343.50","1,323.50",133.23K,-1.32%
20,2023-11-30,"1,342.75","1,347.00","1,351.50","1,339.25",106.35K,-0.32%
21,2023-11-29,"1,347.00","1,346.50","1,352.00","1,337.00",110.83K,0.04%
22,2023-11-28,"1,346.50","1,330.25","1,350.00","1,329.50",122.21K,1.26%
23,2023-11-27,"1,329.75","1,329.50","1,339.00","1,323.50",108.13K,-0.08%
24,2023-11-24,"1,330.75","1,354.50","1,355.00","1,329.50",79.52K,-1.90%
25,2023-11-22,"1,356.50","1,377.00","1,378.50","1,354.25",123.98K,-1.51%
26,2023-11-21,"1,377.25","1,365.50","1,389.25","1,364.00",131.50K,0.73%
27,2023-11-20,"1,367.25","1,339.25","1,368.00","1,327.00",126.69K,2.01%
28,2023-11-17,"1,340.25","1,360.00","1,361.50","1,336.75",125.66K,-1.47%
29,2023-11-16,"1,360.25","1,385.00","1,387.75","1,353.75",139.08K,-1.79%
30,2023-11-15,"1,385.00","1,389.00","1,398.50","1,379.50",112.13K,1.19%
31,2023-11-14,"1,368.75","1,372.00","1,372.00","1,358.50",0.06K,0.05%
32,2023-11-13,"1,368.00","1,335.00","1,369.00","1,333.75",0.28K,2.59%
33,2023-11-10,"1,333.50","1,328.00","1,335.00","1,325.25",0.16K,0.43%
34,2023-11-09,"1,327.75","1,351.00","1,353.50","1,326.50",0.09K,-1.58%
35,2023-11-08,"1,349.00","1,352.00","1,368.75","1,348.00",0.22K,0.02%
36,2023-11-07,"1,348.75","1,339.50","1,366.00","1,336.50",2.17K,0.62%
37,2023-11-06,"1,340.50","1,327.50","1,345.25","1,327.50",1.02K,-0.83%
38,2023-11-03,"1,351.75","1,327.00","1,355.00","1,326.25",,1.77%
39,2023-11-02,"1,328.25","1,315.25","1,330.00","1,315.00",,0.86%
40,2023-11-01,"1,316.88","1,311.88","1,319.12","1,304.50",,0.49%
41,2023-10-31,"1,310.50","1,307.25","1,321.50","1,300.00",,0.25%
42,2023-10-30,"1,307.25","1,319.50","1,331.25","1,305.50",,-0.93%
43,2023-10-27,"1,319.50","1,300.00","1,325.25","1,298.50",160.76K,3.13%
44,2023-10-26,"1,279.50","1,287.50","1,297.75","1,277.50",,-0.68%
45,2023-10-25,"1,288.25","1,293.00","1,301.25","1,278.00",111.04K,-0.54%
46,2023-10-24,"1,295.25","1,287.00","1,297.75","1,280.50",125.25K,0.66%
47,2023-10-23,"1,286.75","1,302.00","1,304.00","1,286.00",119.49K,-1.19%
48,2023-10-20,"1,302.25","1,315.00","1,318.50","1,301.00",143.73K,-1.01%
49,2023-10-19,"1,315.50","1,311.00","1,317.75","1,300.25",182.30K,0.34%
50,2023-10-18,"1,311.00","1,297.00","1,313.00","1,293.25",163.21K,1.10%
51,2023-10-17,"1,296.75","1,286.00","1,303.50","1,285.50",135.41K,0.82%
52,2023-10-16,"1,286.25","1,280.00","1,289.00","1,279.50",111.49K,0.47%
53,2023-10-13,"1,280.25","1,286.75","1,298.50","1,273.50",139.75K,-0.76%
54,2023-10-12,"1,290.00","1,252.50","1,299.75","1,250.50",235.47K,2.99%
55,2023-10-11,"1,252.50","1,271.50","1,274.25","1,251.00",185.25K,-1.49%
56,2023-10-10,"1,271.50","1,263.00","1,273.25","1,254.25",161.65K,0.57%
57,2023-10-09,"1,264.25","1,267.00","1,277.50","1,258.25",162.79K,-0.14%
58,2023-10-06,"1,266.00","1,279.50","1,287.25","1,263.50",156.38K,-1.15%
59,2023-10-05,"1,280.75","1,271.75","1,283.75","1,262.00",143.48K,0.61%
60,2023-10-04,"1,273.00","1,272.00","1,285.00","1,268.75",126.71K,0.02%
61,2023-10-03,"1,272.75","1,276.50","1,278.75","1,256.75",191.99K,-0.33%
62,2023-10-02,"1,277.00","1,272.50","1,279.50","1,265.75",156.11K,0.16%
63,2023-09-29,"1,275.00","1,300.50","1,305.50","1,272.50",169.95K,-1.96%
64,2023-09-28,"1,300.50","1,303.00","1,307.00","1,287.00",151.18K,-0.21%
65,2023-09-27,"1,303.25","1,302.75","1,317.00","1,297.50",146.48K,0.04%
66,2023-09-26,"1,302.75","1,299.25","1,307.75","1,289.00",135.13K,0.39%
67,2023-09-25,"1,297.75","1,295.25","1,300.00","1,284.50",101.01K,0.12%
68,2023-09-22,"1,296.25","1,294.00","1,303.00","1,292.50",121.67K,0.19%
69,2023-09-21,"1,293.75","1,319.75","1,322.00","1,293.00",140.56K,-1.99%
70,2023-09-20,"1,320.00","1,315.25","1,322.75","1,310.25",112.12K,0.34%
71,2023-09-19,"1,315.50","1,315.00","1,319.75","1,308.00",138.84K,-0.09%
72,2023-09-18,"1,316.75","1,340.00","1,344.50","1,315.50",137.20K,-1.75%
73,2023-09-15,"1,340.25","1,360.50","1,367.75","1,338.25",114.65K,-0.26%
74,2023-09-14,"1,343.75","1,349.75","1,364.50","1,346.25",0.39K,0.58%
75,2023-09-13,"1,336.00","1,325.50","1,335.50","1,325.50",0.20K,0.32%
76,2023-09-12,"1,331.75","1,348.75","1,348.75","1,343.50",0.27K,-1.53%
