,Date,Price,Open,High,Low,Vol.,Change %
0,2023-12-29,628,631,633.5,621.5,34.75K,-0.55%
1,2023-12-28,631.5,624.25,636.25,621.75,32.25K,1.36%
2,2023-12-27,623,636,637.5,619.25,38.06K,-2.08%
3,2023-12-26,636.25,615,639.75,611.5,40.67K,3.25%
4,2023-12-22,616.25,612.5,618.25,610.75,26.13K,0.61%
5,2023-12-21,612.5,611.5,617.25,610.25,33.65K,0.41%
6,2023-12-20,610,622.5,625.25,609,39.37K,-2.05%
7,2023-12-19,622.75,618.25,624.25,611.25,42.92K,0.93%
8,2023-12-18,617,629.75,632,614.75,43.59K,-1.95%
9,2023-12-15,629.25,616,630,610.75,52.71K,5.93%
10,2023-12-14,594,608,619.5,606.5,0.15K,1.50%
11,2023-12-13,585.25,624.25,626.5,602.5,0.21K,-3.58%
12,2023-12-12,607,609.75,628.75,608.25,0.15K,2.66%
13,2023-12-11,591.25,632,633.25,607.25,0.20K,-3.86%
14,2023-12-08,615,618.75,619,618,0.02K,-1.76%
15,2023-12-07,626,622.75,622.75,622.75,0.09K,1.66%
16,2023-12-06,615.75,625.75,634,621.75,0.05K,-0.81%
17,2023-12-05,620.75,601,619.25,597.75,0.58K,4.20%
18,2023-12-04,595.75,583,583,583,0.37K,3.25%
19,2023-12-01,577,569.25,577.5,569.25,0.67K,-3.51%
20,2023-11-30,598,585.75,599,582,78.52K,2.09%
21,2023-11-29,585.75,573.75,587.5,571.5,72.63K,2.40%
22,2023-11-28,572,562,574,557.25,84.85K,1.96%
23,2023-11-27,561,578.5,582,556.25,97.01K,-2.82%
24,2023-11-24,577.25,582.75,584.5,575,45.78K,-1.24%
25,2023-11-22,584.5,584,591.5,583,57.25K,0.30%
26,2023-11-21,582.75,571,584.75,568.75,69.09K,2.15%
27,2023-11-20,570.5,575.75,579.75,567.75,56.49K,-0.91%
28,2023-11-17,575.75,582,585.25,574.5,63.69K,-0.90%
29,2023-11-16,581,590.25,590.75,575.25,67.93K,-1.19%
30,2023-11-15,588,598.75,604.5,585.75,80.04K,2.80%
31,2023-11-14,572,581,585,570.25,65.17K,-1.21%
32,2023-11-13,579,575,582,567.25,80.61K,0.65%
33,2023-11-10,575.25,581.75,583,570.75,68.74K,-0.95%
34,2023-11-09,580.75,590,592.5,573,85.08K,-1.94%
35,2023-11-08,592.25,571.5,598.75,570.25,144.37K,3.86%
36,2023-11-07,570.25,574,582.25,564.5,106.30K,-0.96%
37,2023-11-06,575.75,573,577.75,566.5,68.70K,0.57%
38,2023-11-03,572.5,565.75,574.5,563.75,41.97K,1.24%
39,2023-11-02,565.5,562.25,569.5,557.25,53.49K,0.67%
40,2023-11-01,561.75,557.5,564.75,554.75,58.78K,0.99%
41,2023-10-31,556.25,568.25,568.5,554.5,72.02K,-1.72%
42,2023-10-30,566,576,577,565.25,60.51K,-1.65%
43,2023-10-27,575.5,580.25,582.5,571,48.61K,-0.69%
44,2023-10-26,579.5,569.25,580.5,563.25,72.44K,1.93%
45,2023-10-25,568.5,580,586.25,567,57.95K,-2.07%
46,2023-10-24,580.5,587.75,588,572.75,47.63K,-1.15%
47,2023-10-23,587.25,586.5,595.25,582,48.39K,0.21%
48,2023-10-20,586,594,604.5,583.25,81.52K,-1.35%
49,2023-10-19,594,579.75,594.5,576.5,65.38K,2.37%
50,2023-10-18,580.25,572.5,584,571.25,52.74K,1.71%
51,2023-10-17,570.5,577,582.25,568.5,53.41K,-1.17%
52,2023-10-16,577.25,580,588.5,575.25,56.77K,-0.43%
53,2023-10-13,579.75,572,586.25,569.5,87.48K,1.44%
54,2023-10-12,571.5,557.25,574.5,547.25,83.01K,2.79%
55,2023-10-11,556,559,560.75,551,43.90K,-0.45%
56,2023-10-10,558.5,573.75,574.75,555.5,48.42K,-2.49%
57,2023-10-09,572.75,573.25,581.5,570,46.09K,0.79%
58,2023-10-06,568.25,576,580.25,566.5,50.14K,-1.73%
59,2023-10-05,578.25,559.75,580.25,559,69.81K,3.26%
60,2023-10-04,560,567.5,569.75,551.75,66.48K,-1.50%
61,2023-10-03,568.5,568.25,575,562.75,75.41K,0.66%
62,2023-10-02,564.75,545,567,541.25,96.36K,4.29%
63,2023-09-29,541.5,579.5,585.5,540,123.78K,-6.44%
64,2023-09-28,578.75,580.5,583.5,575.25,43.97K,-0.13%
65,2023-09-27,579.5,589.25,594.5,578.5,55.81K,-1.61%
66,2023-09-26,589,589,596.75,583.25,48.88K,0.00%
67,2023-09-25,589,577,590,573.75,44.70K,1.64%
68,2023-09-22,579.5,576.5,582.5,572.75,45.56K,0.65%
69,2023-09-21,575.75,589,590.25,575,50.33K,-2.21%
70,2023-09-20,588.75,585.25,596.25,581.5,63.64K,0.81%
71,2023-09-19,584,588,592.75,581,58.59K,-1.23%
72,2023-09-18,591.25,604,604.25,587,64.92K,-2.15%
73,2023-09-15,604.25,594.25,607.5,591.75,65.39K,6.48%
74,2023-09-14,567.5,595.5,597.75,583.5,0.10K,-0.26%
75,2023-09-13,569,562.5,565.5,562.5,0.04K,1.56%
76,2023-09-12,560.25,557.25,557.25,548,0.17K,0.76%
77,2023-09-11,556,561.5,561.5,558,0.19K,-1.98%
78,2023-09-08,567.25,600,602.75,590.5,0.05K,-0.74%
79,2023-09-07,571.5,578.25,585,578.25,0.15K,-1.64%
80,2023-09-06,581,577.5,587,576.5,0.31K,1.48%
81,2023-09-05,572.5,569.25,575,567,0.10K,0.88%
82,2023-09-01,567.5,574,585,571,0.73K,-0.96%
83,2023-08-31,573,574,582.75,566,1.70K,-0.65%
